8.19	2164
8.19	237
8.19	2449
8.19	135
8.19	6045
8.19	6211
8.18	232
8.18	4789
8.18	16
8.18	1486
8.18	8063
8.17	889
8.17	2952
8.17	934
8.17	731
8.17	1530
8.17	9656
8.17	4918
8.16	4772
8.16	781
8.16	1363
8.16	223
8.16	2004
8.16	153
8.16	5029
8.16	302
8.16	8740
8.16	5682
8.16	1065
8.15	47
8.15	4901
8.15	851
8.15	1943
8.15	4053
8.15	846
8.15	9926
8.14	4059
8.14	589
8.14	7791
8.14	535
8.13	2563
8.13	9963
8.13	2951
8.13	2762
8.13	81
8.13	9204
8.13	1023
8.12	1471
8.12	2924
8.12	4672
8.12	2448
8.12	3907
8.12	186
8.12	9941
8.11	6421
8.11	2159
8.11	2154
8.11	6505
8.11	861
8.10	1689
8.10	3665
8.10	9996
8.10	7711
8.10	77
8.10	401
8.09	7338
8.09	3014
8.09	645
8.09	5781
8.09	5678
8.09	6774
8.09	1089
8.09	995
8.09	2752
8.08	15
8.08	122
8.08	1594
8.08	3092
8.08	3588
8.08	4106
8.07	387
8.07	1088
8.07	2143
8.07	6582
8.07	2158
8.07	6586
8.06	66
8.06	8142
8.06	6438
8.06	227
8.06	73
8.06	4898
8.06	7222
8.06	957
8.06	24
8.06	849
8.05	2623
8.05	268
8.05	427
8.05	4280
8.05	28
8.04	9513
8.04	8408
8.04	4985
8.04	22
8.04	2618
8.04	793
8.03	2035
8.03	790
8.03	9289
8.03	5630
8.03	2829
8.03	416
8.03	85
8.03	1254
8.03	2605
8.03	4163
8.03	3228
8.02	1485
8.02	6351
8.02	3782
8.02	3572
8.02	8310
8.02	114
8.02	658
8.01	7062
8.01	9088
8.01	6377
8.00	1470
8.00	780
8.00	2321
8.00	429
8.00	1729
7.99	996
7.99	9465
7.99	967
7.99	1695
7.99	339
7.99	7724
7.99	2753
7.98	8516
7.98	779
7.98	1366
7.98	187
7.98	597
7.98	400
7.97	1571
7.97	267
7.97	253
7.97	4080
7.97	3750
7.97	569
7.97	6007
7.97	1253
7.97	397
7.97	949
7.96	9724
7.96	6768
7.96	4872
7.96	2076
7.96	5485
7.96	5005
7.96	890
7.95	269
7.95	1472
7.95	7304
7.95	8609
7.95	6033
7.95	8479
7.95	254
7.95	8525
7.95	2104
7.95	2150
7.95	543
7.94	9252
7.94	1505
7.94	4447
7.94	317
7.94	9563
7.94	97
7.94	2273
7.94	1735
7.94	7044
7.93	2890
7.93	468
7.93	516
7.93	1425
7.93	5310
7.93	93
7.93	8038
7.93	322
7.93	6154
7.93	7588
7.93	1172
7.93	2265
7.93	202
7.92	9919
7.92	1818
7.92	1824
7.92	4192
7.92	4472
7.92	5530
7.92	6591
7.91	388
7.91	1473
7.91	1379
7.91	1910
7.90	7193
7.90	1961
7.90	6024
7.90	2761
7.90	1491
7.90	106
7.90	5835
7.90	3604
7.90	2828
7.90	4087
7.90	582
7.90	8311
7.89	532
7.89	552
7.89	7645
7.89	249
7.89	4886
7.89	451
7.89	9734
7.89	433
7.89	6115
7.89	80
7.89	1092
7.89	1921
7.89	1562
7.88	1520
7.88	6862
7.88	251
7.88	875
7.88	795
7.88	479
7.87	570
7.87	5680
7.87	2175
7.87	1887
7.87	90
7.87	91
7.87	2594
7.87	210
7.87	1007
7.87	534
7.87	9790
7.87	2582
7.87	407
7.87	6213
7.87	1000
7.87	1375
7.86	8514
7.86	951
7.86	2508
7.86	6904
7.86	4454
7.86	396
7.86	8407
7.85	9074
7.85	7305
7.85	226
7.85	644
7.85	2405
7.85	6050
7.85	444
7.85	82
7.85	1699
7.85	517
7.84	978
7.84	2994
7.84	1462
7.84	398
7.84	2451
7.84	8937
7.83	6347
7.83	3841
7.83	8086
7.83	9982
7.83	1888
7.83	1096
7.83	1719
7.83	290
7.83	154
7.83	5074
7.82	1690
7.82	4177
7.82	9785
7.82	985
7.82	6984
7.82	3545
7.82	474
7.82	1211
7.82	9510
7.82	5751
7.82	3515
7.82	6956
7.82	9441
7.81	233
7.81	2397
7.81	345
7.81	71
7.81	9760
7.81	160
7.81	3713
7.81	2593
7.81	2454
7.81	2963
7.81	87
7.81	20
7.81	1002
7.80	9471
7.80	150
7.80	60
7.80	120
7.80	74
7.80	8426
7.80	2547
7.80	182
7.79	9062
7.79	477
7.79	6772
7.79	2450
7.79	5177
7.79	2229
7.79	6927
7.79	4811
7.79	228
7.79	8795
7.79	1011
7.79	2787
7.79	6046
7.79	9000
7.78	531
7.78	4596
7.78	1015
7.78	4725
7.78	6637
7.78	255
7.78	1418
7.78	7592
7.78	2112
7.78	208
7.78	1008
7.78	65
7.78	2499
7.78	3470
7.78	540
7.78	26
7.78	1293
7.78	856
7.77	9201
7.77	2214
7.77	123
7.77	488
7.77	3603
7.77	7270
7.77	1376
7.77	464
7.77	9745
7.77	539
7.76	997
7.76	2471
7.76	240
7.76	1301
7.76	9065
7.76	5060
7.76	3731
7.76	1412
7.76	2985
7.76	1483
7.76	462
7.76	5507
7.76	6444
7.76	95
7.75	8247
7.75	7471
7.75	986
7.75	2026
7.75	450
7.75	6624
7.75	3466
7.75	331
7.75	2557
7.75	1830
7.75	4416
7.74	740
7.74	2213
7.74	371
7.74	7303
7.74	430
7.74	1813
7.74	9288
7.74	6372
7.74	17
7.74	3931
7.74	1915
7.74	323
7.74	2313
7.74	584
7.74	6634
7.74	355
7.74	1279
7.73	966
7.73	132
7.73	8532
7.73	1606
7.73	9136
7.73	2227
7.73	7627
7.73	6773
7.73	1650
7.73	2558
7.73	1840
7.72	2724
7.72	905
7.72	1395
7.72	5231
7.72	5204
7.72	324
7.72	709
7.72	1034
7.72	1924
7.71	3090
7.71	7647
7.71	530
7.71	3785
7.71	7902
7.71	1281
7.71	129
7.71	7661
7.71	6116
7.71	8675
7.71	1557
7.70	6152
7.70	1393
7.70	914
7.70	1087
7.70	5493
7.70	9751
7.70	969
7.70	2202
7.70	7762
7.69	880
7.69	857
7.69	110
7.69	587
7.69	452
7.69	1579
7.69	6793
7.69	6172
7.69	194
7.69	3001
7.69	8190
7.69	2498
7.69	4654
7.68	1946
7.68	67
7.68	428
7.68	4188
7.68	340
7.68	5958
7.67	1478
7.67	8331
7.67	455
7.67	8217
7.67	617
7.67	8841
7.67	9396
7.67	5306
7.67	2268
7.67	177
7.66	4835
7.66	8888
7.66	5348
7.66	9786
7.66	2002
7.66	145
7.66	5290
7.66	250
7.66	2743
7.66	3626
7.66	1873
7.66	528
7.66	2562
7.66	1861
7.66	8995
7.66	1985
7.65	304
7.65	1488
7.65	4182
